Name,Site,Year,Timeline,Random ID,Treatment,
O'Neil Creek,S16,2016,213,1,wet,
O'Neil Creek,S16,2010,185,2,wet,
Deer Creek,S36,2015,374,3,wet,
Rock Creek,S15,2010,149,4,wet,
Deer Creek,S36,2011,343,5,wet,
Sweetwater,S02,2010,3,6,wet,
O'Neil Creek,S16,2016,219,7,wet,
O'Neil Creek,S16,2016,212,8,wet,
Mill Creek,S11,2016,146B,9,wet,
Deer Creek,S36,2011,344,10,wet,
Deer Creek,S36,2015,375,11,wet,
Rock Creek,S15,2010,148,12,wet,
O'Neil Creek,S16,2010,190,13,wet,
Sweetwater,S02,2014,28,14,wet,
Deer Creek,S36,2011,345,15,wet,
Sweetwater,S02,2010,1,16,wet,
West Fork,S07,2014,54,17,wet,
Mill Creek,S11,2010,124,18,wet,
O'Neil Creek,S16,2010,186,19,wet,
Rock Creek,S15,2015,172,20,wet,
Mill Creek,S11,2016,146A,21,wet,
Rock Creek,S15,2010,152,22,wet,
O'Neil Creek,S16,2016,218,23,wet,
West Fork,S07,2014,57,24,wet,
West Fork,S07,2014,51,25,wet,
Mill Creek,S11,2010,123,26,wet,
Sweetwater,S02,2014,35,27,wet,
Deer Creek,S36,2011,346,28,wet,
O'Neil Creek,S16,2016,216,29,wet,
Deer Creek,S36,2015,373,30,wet,
O'Neil Creek,S16,2010,187,31,wet,
Rock Creek,S15,2015,167,32,wet,
West Fork,S07,2010,41,33,wet,
Rock Creek,S15,2010,155,34,wet,
Rock Creek,S15,2015,170,35,wet,
West Fork,S07,2010,40,36,wet,
Rock Creek,S15,2010,153,37,wet,
Rock Creek,S15,2015,164,38,wet,
Sweetwater,S02,2014,29,39,wet,
West Fork,S07,2014,55,40,wet,
West Fork,S07,2014,52,41,wet,
Mill Creek,S11,2010,119,42,wet,
Deer Creek,S36,2011,348,43,wet,
Mill Creek,S11,2010,120,44,wet,
Sweetwater,S02,2010,7,45,wet,
Sweetwater,S02,2010,8,46,wet,
West Fork,S07,2010,38B,47,wet,
Rock Creek,S15,2015,166,48,wet,
Sweetwater,S02,2014,37,49,wet,
Mill Creek,S11,2010,125,50,wet,Penell-14
Mill Creek,S11,2016,147A,51,wet,
Deer Creek,S36,2011,342,52,wet,
West Fork,S07,2014,49,53,wet,
Sweetwater,S02,2010,6,54,wet,
Deer Creek,S36,2015,376,55,wet,
West Fork,S07,2010,38A,56,wet,
O'Neil Creek,S16,2010,184,57,wet,
O'Neil Creek,S16,2010,189,58,wet,
Deer Creek,S36,2015,372,59,wet,
O'Neil Creek,S16,2010,183,60,wet,
Sweetwater,S02,2014,31,61,wet,
Sweetwater,S02,2014,36,62,wet,
West Fork,S07,2010,39B,63,wet,
Sweetwater,S02,2014,34,64,wet,
O'Neil Creek,S16,2016,211,65,wet,
Deer Creek,S36,2011,349,66,wet,
Deer Creek,S36,2015,368,67,wet,
Rock Creek,S15,2010,154,68,wet,
Sweetwater,S02,2010,4,69,wet,
Deer Creek,S36,2015,371,70,wet,
Mill Creek,S11,2016,147B,71,wet,
Sweetwater,S02,2010,5,72,wet,
Mill Creek,S11,2010,121,73,wet,
O'Neil Creek,S16,2016,217,74,wet,
Mill Creek,S11,2016,145B,75,wet,
Mill Creek,S11,2016,144,76,wet,
Mill Creek,S11,2010,122,77,wet,
Mill Creek,S11,2016,145A,78,wet,
Rock Creek,S15,2015,169,79,wet,
West Fork,S07,2010,39A,80,wet,
West Fork,S07,2010,39A,81,dry,
Mill Creek,S11,2010,125,82,dry,
Mill Creek,S11,2010,120,83,dry,
O'Neil Creek,S16,2010,190,84,dry,
Rock Creek,S15,2010,149,85,dry,
Mill Creek,S11,2010,119,86,dry,
West Fork,S07,2010,40,87,dry,
West Fork,S07,2014,51,88,dry,
Mill Creek,S11,2016,144,89,dry,
Mill Creek,S11,2010,122,90,dry,
Deer Creek,S36,2015,368,91,dry,
Mill Creek,S11,2010,124,92,dry,
West Fork,S07,2010,38A,93,dry,
Sweetwater,S02,2010,1,94,dry,
West Fork,S07,2014,49,95,dry,
Deer Creek,S36,2011,345,96,dry,
O'Neil Creek,S16,2016,217,97,dry,
O'Neil Creek,S16,2016,212,98,dry,
O'Neil Creek,S16,2016,216,99,dry,
West Fork,S07,2010,41,100,dry,
O'Neil Creek,S16,2010,185,101,dry,
Deer Creek,S36,2015,376,102,dry,
Deer Creek,S36,2011,349,103,dry,
Mill Creek,S11,2016,147A,104,dry,
O'Neil Creek,S16,2010,189,105,dry,
Deer Creek,S36,2011,346,106,dry,
O'Neil Creek,S16,2010,187,107,dry,
Deer Creek,S36,2015,371,108,dry,
Rock Creek,S15,2015,164,109,dry,
O'Neil Creek,S16,2016,211,110,dry,
O'Neil Creek,S16,2016,213,111,dry,
Deer Creek,S36,2011,343,112,dry,
Rock Creek,S15,2010,153,113,dry,
West Fork,S07,2014,57,114,dry,
Sweetwater,S02,2010,4,115,dry,
Rock Creek,S15,2015,170,116,dry,
Sweetwater,S02,2014,28,117,dry,
West Fork,S07,2010,39B,118,dry,
Rock Creek,S15,2015,166,119,dry,
Rock Creek,S15,2015,172,120,dry,
Mill Creek,S11,2016,145A,121,dry,
Deer Creek,S36,2015,373,122,dry,
Mill Creek,S11,2016,145B,123,dry,
Deer Creek,S36,2015,374,124,dry,
Sweetwater,S02,2014,29,125,dry,
Rock Creek,S15,2010,148,126,dry,
Rock Creek,S15,2010,155,127,dry,
Sweetwater,S02,2010,6,128,dry,
Mill Creek,S11,2016,146A,129,dry,
Deer Creek,S36,2011,342,130,dry,
Rock Creek,S15,2015,169,131,dry,
West Fork,S07,2014,55,132,dry,
Rock Creek,S15,2010,154,133,dry,
West Fork,S07,2014,52,134,dry,
O'Neil Creek,S16,2010,186,135,dry,
Deer Creek,S36,2015,372,136,dry,
Sweetwater,S02,2010,3,137,dry,
Deer Creek,S36,2011,344,138,dry,
O'Neil Creek,S16,2016,219,139,dry,
O'Neil Creek,S16,2016,218,140,dry,
West Fork,S07,2014,54,141,dry,
Sweetwater,S02,2014,34,142,dry,
Mill Creek,S11,2010,123,143,dry,
Sweetwater,S02,2010,8,144,dry,
Sweetwater,S02,2010,7,145,dry,
Rock Creek,S15,2010,152,146,dry,
West Fork,S07,2010,38B,147,dry,
Sweetwater,S02,2014,37,148,dry,
Mill Creek,S11,2016,146B,149,dry,
O'Neil Creek,S16,2010,183,150,dry,
O'Neil Creek,S16,2010,184,151,dry,
Sweetwater,S02,2014,35,152,dry,
Deer Creek,S36,2015,375,153,dry,
Mill Creek,S11,2010,121,154,dry,
Sweetwater,S02,2014,36,155,dry,
Mill Creek,S11,2016,147B,156,dry,
Sweetwater,S02,2014,31,157,dry,
Deer Creek,S36,2011,348,158,dry,
Rock Creek,S15,2015,167,159,dry,
Sweetwater,S02,2010,5,160,dry,